,Tweet,Hashtag
99,"Chemical Engineers Addressing Climate Change
https://t.co/PW5A1ZRkPb
#UBCBE #UBSEAS #UBuffalo",ubcbe ubseas ubuffalo
100,"CBE mentored PhD students Chih-Han Liu, Bita Nasiri, and Mahasweta Bhattacharya are Finalists for UB's 3 Minute Thesis Competition on March 4 https://t.co/IaYfnOvGnw
#UBCBE #UBSEAS #UBuffalo https://t.co/PGXfR9Jwzw",ubcbe ubseas ubuffalo
101,"Bring your laptop, grab a friend and join our career experts in creating or updating your resume and online profiles every Wednesday from 12 p.m. to 1 p.m. in 259 Capen Hall. Preregistration is required for this Wed. workshop. More info ➡️ https://t.co/a7fwHMeax2 #UBuffalo https://t.co/B18yHDdLDw",ubuffalo
102,"Have an idea worth $52,000? Compete in this year’s #UBuffalo Panasci Technology Entrepreneurship Competition! Any stage of a concept is welcome! Ideation, prototype or more established innovations!  #UBHonors https://t.co/Rfxsa44FxJ",ubuffalo ubhonors
103,"It’s a crucial part of our @Jacobs_Med_UB mission to seek novel solutions to the most critical #PublicHealth issues, including providing up-to-date information and guidance regarding #COVID19 treatments and vaccines. #UBuffalo https://t.co/ZgQmrrrFOg",publichealth covid19 ubuffalo
104,"A safe space to learn about sexual and reproductive health: https://t.co/w4mKOV6BX7 @ubuntu4change @UTEP @PopFoundIndia  @AIforGoodUK  &lt;""AI can be leveraged in ways that facilitate social and behavior change"" #UBuffalo #AI #SexualHealth https://t.co/SnH0b0qnqx",ubuffalo ai sexualhealth
105,@dysclinic @UBuffalo @ubinfotech That's debatable. Video games game improve mental health. Theres always been a stigma around video games. They increase reaction skills and awareness. I'd argue they are good for the brain. I'm sure there are papers to support both sides of this debate,
106,"Go @UBSwimDiveTeam! We are rooting for you! 💪📣
#UBhornsUP 
#UBuffalo https://t.co/rndRj7lhUO",ubhornsup ubuffalo
107,@Mel_Orlins @news4buffalo @UBuffalo Oh man Mel. Prayers up for your sister. 5.00 gas and her $1000/sf house. 🙏 🤲,
108,@beach4menj @Mel_Orlins @UBuffalo @news4buffalo How about opening the Keystone pipeline? Would that help? Why rely on foreign supply?,
109,"We're #UBTrueBlue! 💙 Visit the stories section to be inspired by a tenacious group of first-generation management students—and to learn how one grad is helping set the standard. 

#UBMgt #UBuffalo https://t.co/KZ4BGLeMsk",ubtrueblue ubmgt ubuffalo
110,"If you want to be seen as a leader, work on your public speaking skills — according to new #UBMgt research.

https://t.co/AAgFK6GtTF

#UBuffalo #Leadership #Communication",ubmgt ubuffalo leadership communication
111,"Soil contamination in some areas near Tonawanda Coke most likely comes from the now-closed plant, @UBuffalo researchers have determined. Full story here: #Buffalo #WNY #Niagara 
https://t.co/t7CSNQY7y6",buffalo wny niagara
112,Nice! Looks like the Bulls are upping their game this semester. #SUNYEsports https://t.co/7RMXft5UqY,sunyesports
113,"We are collaborating with @du1869 @UBuffalo @STEMNOLA &amp; @ArtSpotPro on EASEL, a community participatory art/science/education research project seeking participants currently living in the 70126, 70127, and 70128 zip codes. Get involved here: https://t.co/Ay8gqYyg5u https://t.co/EgnJW0rXK4",
114,"UB Law hit the court Wed. night to cheer the UB Bulls women’s basketball team on to victory! LtoR: Elissa Gunasingh &amp; Daniel Ortega of the Dean’s Office, Prof. @kimdianaconnoll, Prof. Ali Harrington, Dean Aviva Abramovsky &amp; Prof. @heather_sol_a. #UBuffalo #UBTrueBlue #UBHornsUp https://t.co/T2HpHGJHVt",ubuffalo ubtrueblue ubhornsup
115,"Bring your #UBTrueBlue spirit next Tuesday, 3/1 when we BLUE OUT Alumni Arena and prepare for #MACtion! 🤘💙🏀 Let's go #UBuffalo!

⏰: 7:00 pm 
📍: Alumni Arena
🆚: Toledo
Learn more about True Blue! ▶️ https://t.co/MCn0bqf4VE https://t.co/vcNpvP6mM1",ubtrueblue maction ubuffalo
116,"#UBuffalo is pleased to announce that it was able to successfully send a small group of undergraduate and graduate students abroad for the Spring 2022 semester. ✈️ #UBabroad 

Read the full update on our COVID-19 Updates for Study Abroad webpage: https://t.co/w5Nwy6p0Of. https://t.co/1p5U3rMzI9",ubuffalo ubabroad
117,"The “Frank J. Cipolla Marching Band” collection finding aid is now available! The majority of the material is dated 1961-1970 during Frank’s time as director of the #UBuffalo Marching Band. #UBTrueBlue 

➡️ https://t.co/O4yTSBheD3 https://t.co/iaE0x6klS4",ubuffalo ubtrueblue
